instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,6
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,3
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.19399999999999998,1
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.19399999999999998,59
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.19399999999999998,65
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.19699999999999998,0.44,0.3582,5
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.19399999999999998,64
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.19699999999999998,0.64,0.1343,52
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.19399999999999998,97
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.19399999999999998,182
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,6
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,2
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.19699999999999998,0.47,0.2239,33
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.19399999999999998,88
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,115
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,57
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,62
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,62
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.19399999999999998,190
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.19699999999999998,0.51,0.19399999999999998,43
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.19699999999999998,0.55,0.1343,42
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.19699999999999998,0.64,0.0896,1
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,219
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,122
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,45
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,84
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,62
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.19699999999999998,0.59,0.19399999999999998,23
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.19699999999999998,0.64,0.19399999999999998,17
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,7
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,1
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,5
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,34
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.19699999999999998,0.51,0.2537,210
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.19699999999999998,0.37,0.3284,63
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.19699999999999998,0.4,0.2239,67
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.19699999999999998,0.37,0.2537,59
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.19699999999999998,0.4,0.2537,50
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,187
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.19699999999999998,0.55,0.0896,95
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.19699999999999998,0.47,0.1343,39
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.19699999999999998,0.43,0.1642,36
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.19699999999999998,0.51,0.1642,15
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.19699999999999998,0.51,0.1642,25
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,16
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,16
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,7
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,1
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,9
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.19699999999999998,0.8,0.1642,61
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,62
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,98
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,102
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,25
187,2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12
188,2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11
189,2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4
190,2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1
191,2011-01-09,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1
192,2011-01-09,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1
193,2011-01-09,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,6
194,2011-01-09,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10
195,2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19
196,2011-01-09,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49
197,2011-01-09,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49
198,2011-01-09,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,83
199,2011-01-09,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,75
200,2011-01-09,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,72
201,2011-01-09,1,0,1,15,0,0,0,1,0.22,0.19699999999999998,0.35,0.3582,82
202,2011-01-09,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,92
203,2011-01-09,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,62
204,2011-01-09,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,48
205,2011-01-09,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,41
206,2011-01-09,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38
207,2011-01-09,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,20
208,2011-01-09,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,15
209,2011-01-09,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.19399999999999998,6
210,2011-01-10,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,5
211,2011-01-10,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1
212,2011-01-10,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3
213,2011-01-10,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1
214,2011-01-10,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,3
215,2011-01-10,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3
216,2011-01-10,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31
217,2011-01-10,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77
218,2011-01-10,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188
219,2011-01-10,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,94
220,2011-01-10,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31
221,2011-01-10,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,30
222,2011-01-10,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,52
223,2011-01-10,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,54
224,2011-01-10,1,0,1,14,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,47
225,2011-01-10,1,0,1,15,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,45
226,2011-01-10,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,74
227,2011-01-10,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,178
228,2011-01-10,1,0,1,18,0,1,1,1,0.2,0.19699999999999998,0.4,0.2239,155
229,2011-01-10,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,95
230,2011-01-10,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,74
231,2011-01-10,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.19399999999999998,38
232,2011-01-10,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,24
233,2011-01-10,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18
234,2011-01-11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,12
235,2011-01-11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3
236,2011-01-11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.19399999999999998,3
237,2011-01-11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6
238,2011-01-11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27
239,2011-01-11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,99
240,2011-01-11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,217
241,2011-01-11,1,0,1,9,0,2,1,2,0.18,0.19699999999999998,0.51,0.1642,130
242,2011-01-11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,54
243,2011-01-11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,35
244,2011-01-11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,57
245,2011-01-11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,52
246,2011-01-11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,63
247,2011-01-11,1,0,1,15,0,2,1,2,0.16,0.19699999999999998,0.8,0.0896,47
248,2011-01-11,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,76
249,2011-01-11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,136
250,2011-01-11,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,95
251,2011-01-11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,51
252,2011-01-11,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.19399999999999998,32
253,2011-01-11,1,0,1,21,0,2,1,3,0.16,0.19699999999999998,0.86,0.0896,20
254,2011-01-11,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,29
255,2011-01-11,1,0,1,23,0,2,1,3,0.16,0.19699999999999998,0.93,0.0896,19
256,2011-01-12,1,0,1,0,0,3,1,2,0.16,0.19699999999999998,0.86,0.0896,7
257,2011-01-12,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,6
258,2011-01-12,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1
259,2011-01-12,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,5
260,2011-01-12,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,16
261,2011-01-12,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,54
262,2011-01-12,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,128
263,2011-01-12,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,81
264,2011-01-12,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,39
265,2011-01-12,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,35
266,2011-01-12,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,55
267,2011-01-12,1,0,1,13,0,3,1,1,0.22,0.19699999999999998,0.44,0.3582,49
268,2011-01-12,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,44
269,2011-01-12,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,49
270,2011-01-12,1,0,1,16,0,3,1,1,0.22,0.19699999999999998,0.44,0.3284,68
271,2011-01-12,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,139
272,2011-01-12,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,137
273,2011-01-12,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,83
274,2011-01-12,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,56
275,2011-01-12,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,57
276,2011-01-12,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,33
277,2011-01-12,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,20
278,2011-01-13,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,7
279,2011-01-13,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,2
280,2011-01-13,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,2
281,2011-01-13,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,3
282,2011-01-13,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,4
283,2011-01-13,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,3
284,2011-01-13,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,28
285,2011-01-13,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,72
286,2011-01-13,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.19399999999999998,202
287,2011-01-13,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,139
288,2011-01-13,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,38
289,2011-01-13,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,37
290,2011-01-13,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,52
291,2011-01-13,1,0,1,13,0,4,1,1,0.22,0.19699999999999998,0.41,0.4478,83
292,2011-01-13,1,0,1,14,0,4,1,1,0.22,0.19699999999999998,0.41,0.3881,42
293,2011-01-13,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,60
294,2011-01-13,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,78
295,2011-01-13,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,162
296,2011-01-13,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,144
297,2011-01-13,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,99
298,2011-01-13,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,64
299,2011-01-13,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,40
300,2011-01-13,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,30
301,2011-01-13,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.19399999999999998,15
302,2011-01-14,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.19399999999999998,14
303,2011-01-14,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,5
